operator_key,operator_group,is_incumbent
,Other,False
Movistar,Incumbent,True
Orange,Competitor,False
Vodafone,Competitor,False
Cellnex Telecom,Other,False
Itelazpi,Other,False
Resto,Other,False
Retegal,Other,False
Telefónica Servicios Audiovisuales,Other,False
Atresmedia,Other,False
Euskaltel,Regional,False
Mediaset España,Other,False
Ono,Other,False
Televisió de Catalunya,Other,False
Jazztel,Other,False
R,Other,False
Telecable,Regional,False
OMV,Other,False
Unidad Editorial,Other,False
Overon,Other,False
Yoigo,Competitor,False
Teledifusión Madrid,Other,False
Grupo MASMOVIL,Competitor,False
Axión,Other,False
DIGI,Other,False
13TV,Other,False
Elanta,Other,False
Onivia,Other,False
Adamo,Other,False
Avatel,Other,False
MASORANGE,Competitor,False
PremiumFiber,Other,False
