service_key;servicio;concepto;market_type;category
Banda ancha fija mayorista | Ingresos;Banda ancha fija mayorista;Ingresos;Mayorista;Revenue
Banda ancha fija mayorista | Líneas;Banda ancha fija mayorista;Líneas;Mayorista;Other
Circuitos alquilados mayoristas | Circuitos;Circuitos alquilados mayoristas;Circuitos;Mayorista;Other
Circuitos alquilados mayoristas | Ingresos;Circuitos alquilados mayoristas;Ingresos;Mayorista;Revenue
Interconexión móvil | Ingresos;Interconexión móvil;Ingresos;Minorista;Revenue
Interconexión móvil | Tráfico - datos;Interconexión móvil;Tráfico - datos;Minorista;Data
Interconexión móvil | Tráfico - mensajes cortos;Interconexión móvil;Tráfico - mensajes cortos;Minorista;Other
Interconexión móvil | Tráfico - minutos;Interconexión móvil;Tráfico - minutos;Minorista;Voice
Otros mayoristas | Ingresos;Otros mayoristas;Ingresos;Mayorista;Revenue
Transmisión de datos mayoristas | Ingresos;Transmisión de datos mayoristas;Ingresos;Mayorista;Revenue
Transporte y difusión mayorista | Ingresos;Transporte y difusión mayorista;Ingresos;Mayorista;Revenue
Audiovisual minorista | Abonados;Audiovisual minorista;Abonados;Minorista;Revenue
Audiovisual minorista | Contrataciones PPV;Audiovisual minorista;Contrataciones PPV;Minorista;Other
Audiovisual minorista | Ingresos;Audiovisual minorista;Ingresos;Minorista;Revenue
Audiovisual minorista | Publicidad - minutos;Audiovisual minorista;Publicidad - minutos;Minorista;Voice
Banda ancha fija minorista | Ingresos;Banda ancha fija minorista;Ingresos;Minorista;Revenue
Banda ancha fija minorista | Líneas;Banda ancha fija minorista;Líneas;Minorista;Other
Banda Ancha móvil | Ingresos;Banda Ancha móvil;Ingresos;Minorista;Revenue
Comunicaciones de Empresa | Circuitos;Comunicaciones de Empresa;Circuitos;Minorista;Other
Comunicaciones de Empresa | Ingresos;Comunicaciones de Empresa;Ingresos;Minorista;Revenue
Otros minorista | Ingresos;Otros minorista;Ingresos;Minorista;Revenue
Telefonía fija | Clientes;Telefonía fija;Clientes;Minorista;Other
Telefonía fija | Ingresos;Telefonía fija;Ingresos;Minorista;Revenue
Telefonía fija | Líneas;Telefonía fija;Líneas;Minorista;Other
Telefonía fija | Tráfico - minutos;Telefonía fija;Tráfico - minutos;Minorista;Voice
Telefonía móvil | Clientes;Telefonía móvil;Clientes;Minorista;Other
Telefonía móvil | Ingresos;Telefonía móvil;Ingresos;Minorista;Revenue
Telefonía móvil | Líneas;Telefonía móvil;Líneas;Minorista;Other
Telefonía móvil | Tráfico - mensajes cortos;Telefonía móvil;Tráfico - mensajes cortos;Minorista;Other
Telefonía móvil | Tráfico - minutos;Telefonía móvil;Tráfico - minutos;Minorista;Voice
Telefonía fija | Portabilidades;Telefonía fija;Portabilidades;Minorista;Portability
Telefonía móvil | Portabilidades;Telefonía móvil;Portabilidades;Minorista;Portability
Interconexión fija | Ingresos;Interconexión fija;Ingresos;Minorista;Revenue
Interconexión fija | Tráfico - minutos;Interconexión fija;Tráfico - minutos;Minorista;Voice
Banda Ancha móvil | Líneas;Banda Ancha móvil;Líneas;Minorista;Other
Red de distribución | Accesos;Red de distribución;Accesos;Minorista;Access
Banda Ancha móvil | Tráfico - datos;Banda Ancha móvil;Tráfico - datos;Minorista;Data
Banda ancha fija minorista | Tráfico - datos;Banda ancha fija minorista;Tráfico - datos;Minorista;Data
