year,population,gdp_meur,gdp_per_capita
1960,30327000.0,,
1961,30583000.0,,
1962,30895500.0,,
1963,31151231.0,,
1964,31442070.0,,
1965,31776320.0,,
1966,32132264.0,,
1967,32434123.0,,
1968,32931771.0,,
1969,33294497.0,,
1970,33587610.0,,
1971,34040642.0,,
1972,34408338.0,,
1973,34800600.0,,
1974,35177294.0,,
1975,35569375.0,,
1976,35946425.0,,
1977,36329199.0,,
1978,36694077.0,,
1979,37035719.0,,
1980,37346940.0,,
1981,37635389.0,,
1982,37881873.0,,
1983,38090151.0,,
1984,38252899.0,,
1985,38407829.0,,
1986,38531195.0,,
1987,38638052.0,,
1988,38731578.0,,
1989,38802300.0,,
1990,38853227.0,,
1991,38881416.0,,
1992,39051336.0,,
1993,39264034.0,,
1994,39458489.0,,
1995,39639726.0,434865.6,10970.44919028956
1996,39808374.0,467378.5,11740.708123371229
1997,39971329.0,478544.1,11972.183862087748
1998,40143449.0,504833.1,12575.728109460648
1999,40303568.0,540843.0,13419.233751215275
2000,40470182.0,588595.0,14543.917791128291
2001,40665545.0,638972.0,15712.859621087093
2002,41035278.0,683365.0,16653.11003863554
2003,41827838.0,728182.0,17409.027930155033
2004,42547451.0,775872.0,18235.451989826604
2005,43296338.0,833031.0,19240.218422167716
2006,44009971.0,898262.0,20410.420175009887
2007,44784666.0,970997.0,21681.46123943405
2008,45668939.0,1025304.0,22450.79527685108
2009,46239273.0,1005567.0,21747.03309024776
2010,46486619.0,989756.0,21291.20209839309
2011,46667174.0,984997.0,21106.849109826107
2012,46818219.0,953037.0,20356.11393077554
2013,46712650.0,937641.0,20072.528533491462
2014,46495744.0,946493.0,20356.55134371008
2015,46425722.0,987936.0,21279.927536721996
2016,46418884.0,1019400.0,21960.88988266069
2017,46497393.0,1061122.0,22821.107411333796
2018,46645070.0,1097845.0,23536.142190375103
2019,46918951.0,1137968.0,24253.909683530648
2020,47318050.0,1030964.0,21787.964635059983
2021,47400798.0,1118595.0,23598.65333912733
2022,47486843.0,1254715.0,26422.37135031276
2023,48085361.0,1366751.0,28423.432237516117
2024,48619695.0,1452583.0,29876.431762889504
2025,49128297.0,1528809.0,31118.705376659
