trimestre_dt;data_traffic;voice_traffic;revenue;total_lines;data_traffic_index;revenue_index;nsi;revenue_per_traffic;revenue_per_line;year;quarter
2005-01-01;1.09;41788.26;8530.07;64879857.0;100.0;100.0;1.6800283638109745e-08;7825.752293577981;0.00013147485821369796;2005;1
2005-04-01;1.8;43561.15;9276.6;66542824.0;165.13761467889907;108.75174529634577;2.7050249625714713e-08;5153.666666666667;0.0001394079698210584;2005;2
2005-07-01;1.73;41117.87;9018.15;67862244.0;158.71559633027522;105.72187567042239;2.5492820426038373e-08;5212.803468208092;0.00013288906273125893;2005;3
2006-01-01;2.97;41445.200000000004;8967.33;72170631.0;272.4770642201835;105.12610095813986;4.1152473781197787e-08;3019.30303030303;0.00012425178879203646;2006;1
2006-04-01;2.1;41827.0;9473.97;73584559.0;192.6605504587156;111.06555983714084;2.8538595984518983e-08;4511.414285714285;0.00012874942961878727;2006;2
2006-07-01;3.01;39787.52;9414.27;75185752.0;276.14678899082566;110.36568281385735;4.0034180944283166e-08;3127.664451827243;0.00012521348459745407;2006;3
2006-10-01;2.25;43425.0;9910.64;76709457.0;206.42201834862385;116.1847440876804;2.9331455181595145e-08;4404.728888888889;0.00012919710799152182;2006;4
2007-01-01;2.8;60082.4;10081.51;79744040.0;256.8807339449541;118.18789294812353;3.5112341938030726e-08;3600.539285714286;0.00012642336656131293;2007;1
2007-04-01;4.2;60130.13;10645.78;80277755.0;385.3211009174312;124.80296175764092;5.2318353945000085e-08;2534.709523809524;0.0001326118300144293;2007;2
2007-07-01;5.82;57657.86;10299.08;81514422.0;533.9449541284404;120.73851679997938;7.139840849267139e-08;1769.6013745704465;0.00012634672181077356;2007;3
2007-10-01;4.39;59959.99;10765.710000000001;83237479.0;402.75229357798156;126.20892911781499;5.274066505546137e-08;2452.325740318907;0.0001293372904770458;2007;4
2008-01-01;4.800000000000001;59888.27;10466.789999999999;85265334.0;440.3669724770642;122.70462024344467;5.6294859526381505e-08;2180.5812499999993;0.00012275551515461135;2008;1
2008-04-01;7.46;61394.5;10800.18;86470952.0;684.4036697247706;126.61302896693698;8.627174591532194e-08;1447.745308310992;0.00012489951538870533;2008;2
2008-07-01;15.680000000000001;57992.18;10559.0;87273473.0;1438.532110091743;123.78561957873735;1.7966513146554854e-07;673.4056122448978;0.00012098750785361779;2008;3
2008-10-01;7.5200000000000005;60909.479999999996;10495.17;88128663.0;689.9082568807339;123.0373256022518;8.532978651905794e-08;1395.6343085106382;0.0001190891776038858;2008;4
2009-01-01;7.8;58613.8;9892.51;98168291.0;715.5963302752293;115.97220186938677;7.945539155815598e-08;1268.270512820513;0.00010077093019781714;2009;1
2009-04-01;10.85;59058.08;9941.38;99463360.0;995.4128440366972;116.5451162768887;1.0908539586838812e-07;916.2562211981566;9.99501726062743e-05;2009;2
2009-07-01;23.549999999999997;57170.47;9713.81;100932223.0;2160.550458715596;113.87726009282456;2.3332489169489506e-07;412.476008492569;9.62409200082713e-05;2009;3
2009-10-01;10.450000000000001;60282.52;10244.050000000001;102425990.0;958.7155963302753;120.09338727583713;1.0202488645704085e-07;980.2918660287081;0.00010001416632633965;2009;4
2010-01-01;12.52;59792.33;9605.789999999999;99802597.0;1148.6238532110092;112.61091644031056;1.2544763739965604e-07;767.2356230031949;9.624789623460399e-05;2010;1
2010-04-01;20.2;60711.69;9835.29;107412531.0;1853.2110091743118;115.30139846449092;1.8805999460156096e-07;486.8955445544555;9.156557348043498e-05;2010;2
2010-07-01;29.93;57775.03;9634.32;102396857.0;2745.871559633027;112.94538028410084;2.9229412773870587e-07;321.89508853992646;9.408804412815131e-05;2010;3
2010-10-01;11.94;61339.89;10074.3;105494469.0;1095.4128440366972;118.10336843660134;1.1318128915365222e-07;843.7437185929648;9.549600178564811e-05;2010;4
2011-01-01;19.35;60990.65;9310.6;102912567.0;1775.229357798165;109.15033522585395;1.8802368422118945e-07;481.1679586563307;9.047097231575226e-05;2011;1
2011-04-01;35.21;61852.44;9412.89;105255271.0;3230.2752293577983;110.34950475201258;3.3452006408306145e-07;267.33570008520303;8.942915552419223e-05;2011;2
2011-07-01;75.15;58732.18;9308.65;108473787.0;6894.495412844037;109.12747492107333;6.927941033348453e-07;123.8675981370592;8.58147415836049e-05;2011;3
2011-10-01;35.72;62574.29;9411.16;111175981.0;3277.064220183486;110.32922355854056;3.2129242016762595e-07;263.4703247480403;8.465101828064822e-05;2011;4
2012-01-01;18038.94;61819.84;8693.83;127291289.0;1654948.6238532106;101.91979667224302;0.00014171386071830884;0.4819479415087583;6.829870345644783e-05;2012;1
2012-04-01;22930.22;61057.85;8556.35;128735899.0;2103689.9082568805;100.3080865690434;0.00017811830404819716;0.3731473138940664;6.646436671095139e-05;2012;2
2012-07-01;26690.27;58206.7;8499.86;131417099.0;2448648.623853211;99.64584112439876;0.00020309586958695535;0.3184628705517029;6.46784936258561e-05;2012;3
2012-10-01;26815.02;61742.13;8444.57;133865632.0;2460093.5779816513;98.99766355961908;0.00020031295261804016;0.3149193996498977;6.30824347805716e-05;2012;4
2013-01-01;29799.15;59654.62;7834.21;134651319.0;2733866.972477064;91.84227093095367;0.00022130603859884954;0.2629004518585262;5.8181457546657975e-05;2013;1
2013-04-01;32221.52;61402.88;7957.11;137585421.0;2956102.752293578;93.28305629379359;0.00023419283646339243;0.24695017491415674;5.7833961928277267e-05;2013;2
2013-07-01;37156.22;59052.53;7546.55;140609816.0;3408827.5229357793;88.4699656626499;0.00026425054137045454;0.20310327584452886;5.3670150596029516e-05;2013;3
2013-10-01;37214.939999999995;63484.49;7770.11;144343940.0;3414214.6788990814;91.09081168149851;0.0002578212843573481;0.20879007194422458;5.3830524509723094e-05;2013;4
2014-01-01;43970.92;62332.38;7290.39;147896586.0;4034029.3577981647;85.46694224080224;0.00029730855315348524;0.1658002607177653;4.929383562646943e-05;2014;1
2014-04-01;51902.66;63783.090000000004;7320.5;152390271.0;4761711.926605504;85.81992879308143;0.00034059037797760727;0.141042867552453;4.8037843570735564e-05;2014;2
2014-07-01;66018.66;61373.27;7150.04;157796553.0;6056757.798165138;83.82158645825885;0.0004183783406219273;0.10830331909190523;4.53117629255184e-05;2014;3
2014-10-01;70789.69;64994.66;7383.49;162130785.0;6494466.972477064;86.55837525366145;0.0004366209045370378;0.1043017704979355;4.554033337962312e-05;2014;4
2015-01-01;82900.84;63832.73;7015.23;165397470.0;7605581.651376146;82.24117738775884;0.0005012219352569299;0.08462194110457746;4.2414373085634256e-05;2015;1
2015-04-01;99491.32;63333.47;7281.39;168464134.0;9127644.036697246;85.36143314181479;0.0005905786450663736;0.07318618347811648;4.322219707608505e-05;2015;2
2015-07-01;122451.56;60998.520000000004;7202.23;171594513.0;11234088.073394494;84.43342200005392;0.0007136099975411218;0.0588169721970059;4.197237938488161e-05;2015;3
2015-10-01;121183.76000000001;63658.549999999996;7418.71;175856734.0;11117776.146788992;86.97126752769907;0.0006891050302344408;0.061218681447084984;4.21861013295061e-05;2015;4
2016-01-01;133532.5;60847.490000000005;7128.89;179048800.0;12250688.073394494;83.57364007563831;0.0007457882990558999;0.053386928275887896;3.9815346430693754e-05;2016;1
2016-04-01;154059.26;64068.09;7456.09;183408688.0;14133877.064220183;87.40948198549367;0.0008399779840309419;0.04839754520435837;4.0652872452803324e-05;2016;2
2016-07-01;204390.32;61054.9;7494.49;187928663.0;18751405.504587155;87.85965414117352;0.0010875952435206759;0.03666753885409054;3.9879440849318445e-05;2016;3
2016-10-01;196044.40000000002;62653.5;7684.64;190932674.0;17985724.770642202;90.08882693811422;0.001026772400411676;0.039198467285982155;4.0247904347686454e-05;2016;4
2017-01-01;223226.44;61736.24;7343.099999999999;193338791.0;20479489.90825688;86.08487386387216;0.0011545869240487802;0.032895296811614246;3.798047956139334e-05;2017;1
2017-04-01;286761.89;63331.229999999996;7576.68;196439435.0;26308430.275229357;88.82318667959349;0.0014597979779365584;0.02642150252252836;3.857005595643258e-05;2017;2
2017-07-01;377190.66000000003;62145.079999999994;7561.06;200665548.0;34604647.706422016;88.64006977668414;0.001879698153267446;0.020045724355953035;3.767991105279318e-05;2017;3
2017-10-01;349689.95;63996.96;7834.13;203901755.0;32081646.788990825;91.84133307229601;0.0017149923501148874;0.02240307449499192;3.842110137796509e-05;2017;4
2018-01-01;372436.58;63198.8;7413.69;208672810.0;34168493.57798165;86.9124168969305;0.0017847872945210255;0.01990591257174577;3.55278198438982e-05;2018;1
2018-04-01;438396.24;66289.4;7723.54;212093917.0;40219838.53211009;90.54486071040448;0.002066991105643072;0.017617714969453205;3.641566014361459e-05;2018;2
2018-07-01;560285.39;63313.15;7486.03;215535888.0;51402329.35779817;87.7604755881253;0.002599499300088717;0.01336110156290172;3.473217416117728e-05;2018;3
2018-10-01;497614.58;66865.52;7719.24;218953844.0;45652713.76146789;90.49445080755491;0.002272691681996686;0.015512487596324046;3.5255101527242424e-05;2018;4
2019-01-01;512132.79000000004;66557.89;7516.68;221470669.0;46984659.633027524;88.11979268634373;0.0023124181288313173;0.014677209010577119;3.393984419670489e-05;2019;1
2019-04-01;587212.11;68930.93;7723.24;225359368.0;53872670.64220183;90.54134374043824;0.0026056698472814318;0.013152385430198298;3.427077413529133e-05;2019;2
2019-07-01;691250.8;67524.04;7535.78;229122232.0;63417504.58715597;88.34370644086157;0.0030169521044121116;0.010901658269328584;3.288978085723257e-05;2019;3
2019-10-01;686086.28;70929.75;7927.74;232062546.0;62943695.41284403;92.93874493409785;0.002956471398878818;0.011555018998485145;3.4162083182522694e-05;2019;4
2020-01-01;10754750.389999999;80200.5;7578.56;236670629.0;986674347.7064219;88.84522635804866;0.045441846482775855;0.0007046709337900311;3.20215483941609e-05;2020;1
2020-04-01;12510581.99;94171.8;7255.17;237864727.0;1147759815.5963302;85.05404996676464;0.05259536438120142;0.0005799226611359269;3.0501243675360073e-05;2020;2
2020-07-01;11542649.15;81317.79000000001;7476.7;242028184.0;1058958637.6146787;87.65109782217496;0.04769134304622969;0.0006477455827373909;3.089185679300887e-05;2020;3
2020-10-01;13666808.45;86285.31999999999;7825.02;244920817.0;1253835637.6146789;91.73453441765426;0.055800926264262786;0.000572556499099832;3.194918298839417e-05;2020;4
2021-01-01;14076582.479999999;86552.78;7322.27;249148296.0;1291429585.3211007;85.8406789158823;0.056498810973204486;0.0005201738426499101;2.938920360908268e-05;2021;1
2021-04-01;14283699.78;84883.55;7444.29;251871536.0;1310431172.4770641;87.27114783348789;0.05671025796261472;0.0005211737935309643;2.9555900274495486e-05;2021;2
2021-07-01;14147325.059999999;80840.70999999999;7405.53;256398820.0;1297919730.2752292;86.81675531384853;0.05517702873983585;0.0005234579659824399;2.8882855233109106e-05;2021;3
2021-10-01;15096154.77;85349.31999999999;7809.91;260079979.0;1384968327.5229356;91.55739636368752;0.05804427864091761;0.0005173443250277435;3.0028878155207786e-05;2021;4
2022-01-01;15890653.79;84913.34;7417.97;262734407.0;1457858145.8715596;86.96259233511566;0.06048181496837603;0.0004668133922009008;2.823372121185483e-05;2022;1
2022-04-01;16091555.85;82809.7;7362.64;263982936.0;1476289527.5229356;86.31394584100718;0.060956803094272725;0.0004575468070727294;2.789059062514556e-05;2022;2
2022-07-01;16739913.81;78655.53;7331.94;269062561.0;1535771909.1743119;85.9540425811277;0.06221569343495545;0.00043799150241861365;2.7249945041592016e-05;2022;3
2022-10-01;18270002.5;74399.48;7683.12;273225452.0;1676147018.3486238;90.07100762361857;0.0668678644916287;0.0004205319621603774;2.812007426013884e-05;2022;4
2023-01-01;18746152.59;73459.59;7243.79;275872534.0;1719830512.8440366;84.9206395727116;0.06795222532011831;0.0003864147571200369;2.6257742642839537e-05;2023;1
2023-04-01;19074172.669999998;74775.92;7346.56;279324925.0;1749924098.1651373;86.12543625081624;0.06828668322384764;0.00038515746539060774;2.630112583042849e-05;2023;2
2023-07-01;19416081.33;71291.51;7369.1;282673531.0;1781291865.1376143;86.38967792761373;0.06868729895336396;0.00037953590504454285;2.6069296173330073e-05;2023;3
2023-10-01;20313025.41;74149.38;7625.8;285294798.0;1863580312.8440366;89.39903189540063;0.07120012545759773;0.0003754142894069269;2.6729544504348095e-05;2023;4
2024-01-01;20736534.689999998;73492.61;7296.91;296010094.0;1902434375.2293575;85.54337772140205;0.07005347152114345;0.0003518866632773926;2.465088234457302e-05;2024;1
2024-04-01;21155937.529999997;74612.13;7354.99;292370740.0;1940911699.9999995;86.22426310686782;0.07235996847700969;0.0003476560653277747;2.5156381927959e-05;2024;2
2024-07-01;21644918.76;68937.65000000001;7269.86;296639618.0;1985772363.3027525;85.22626426277861;0.07296705310617006;0.00033586912848269793;2.450738053472008e-05;2024;3
2024-10-01;22773085.37;73684.76;7651.53;300341903.0;2089273887.1559632;89.70067068617257;0.07582386987139787;0.000335990045954849;2.547606552256546e-05;2024;4
2025-01-01;23569831.28;71473.90000000001;7444.75;306745003.0;2162369842.2018347;87.27654052076947;0.07683851749656702;0.0003158592826380215;2.427015901543472e-05;2025;1
2025-04-01;23773713.199999996;70629.26000000001;7391.89;313112283.0;2181074605.5045867;86.65685041271644;0.07592711781287735;0.0003109270284290298;2.3607793118738815e-05;2025;2
2025-07-01;24746481.84;64004.94;7382.04;322009026.0;2270319434.8623853;86.54137656549126;0.07685027388021105;0.0002983066460812112;2.2924947451628267e-05;2025;3
2025-10-01;26905621.919999998;66841.45;7785.4400000000005;332162938.0;2468405680.7339444;91.27052884677383;0.0810012763073525;0.00028936108680739246;2.343861734508141e-05;2025;4
