trimestre,hhi,trimestre_dt,year,classification
2005T1,3482.265388946827,2005-01-01,2005,Highly Concentrated
2005T2,3272.271261827726,2005-04-01,2005,Highly Concentrated
2005T3,3537.767914508237,2005-07-01,2005,Highly Concentrated
2006T1,3315.4051905140605,2006-01-01,2006,Highly Concentrated
2006T2,3153.6961899055027,2006-04-01,2006,Highly Concentrated
2006T3,3430.981038690499,2006-07-01,2006,Highly Concentrated
2006T4,3180.527467053169,2006-10-01,2006,Highly Concentrated
2007T1,3298.335832304302,2007-01-01,2007,Highly Concentrated
2007T2,3159.484626248537,2007-04-01,2007,Highly Concentrated
2007T3,3409.3562770535955,2007-07-01,2007,Highly Concentrated
2007T4,3169.4788639029025,2007-10-01,2007,Highly Concentrated
2008T1,3276.6733651527743,2008-01-01,2008,Highly Concentrated
2008T2,3170.2424013118525,2008-04-01,2008,Highly Concentrated
2008T3,3431.931672919148,2008-07-01,2008,Highly Concentrated
2008T4,3243.679570536552,2008-10-01,2008,Highly Concentrated
2009T1,3321.451485701118,2009-01-01,2009,Highly Concentrated
2009T2,3246.297225241192,2009-04-01,2009,Highly Concentrated
2009T3,3343.4499096542604,2009-07-01,2009,Highly Concentrated
2009T4,3096.96793229442,2009-10-01,2009,Highly Concentrated
2010T1,3111.568514384642,2010-01-01,2010,Highly Concentrated
2010T2,2998.029816750304,2010-04-01,2010,Highly Concentrated
2010T3,3106.284071276816,2010-07-01,2010,Highly Concentrated
2010T4,2883.515307448592,2010-10-01,2010,Highly Concentrated
2011T1,2902.320882227244,2011-01-01,2011,Highly Concentrated
2011T2,2829.399845431887,2011-04-01,2011,Highly Concentrated
2011T3,2884.1850534691384,2011-07-01,2011,Highly Concentrated
2011T4,2658.749900652517,2011-10-01,2011,Highly Concentrated
2012T1,2641.1320908537896,2012-01-01,2012,Highly Concentrated
2012T2,2536.001073066988,2012-04-01,2012,Highly Concentrated
2012T3,2607.379272628794,2012-07-01,2012,Highly Concentrated
2012T4,2390.1580299995053,2012-10-01,2012,Moderately Concentrated
2013T1,2378.0999686780738,2013-01-01,2013,Moderately Concentrated
2013T2,2319.688993028636,2013-04-01,2013,Moderately Concentrated
2013T3,2375.820882097853,2013-07-01,2013,Moderately Concentrated
2013T4,2173.814432967712,2013-10-01,2013,Moderately Concentrated
2014T1,2156.2007414218583,2014-01-01,2014,Moderately Concentrated
2014T2,2115.958335336276,2014-04-01,2014,Moderately Concentrated
2014T3,2362.035413086435,2014-07-01,2014,Moderately Concentrated
2014T4,2205.388228134601,2014-10-01,2014,Moderately Concentrated
2015T1,2249.575145038025,2015-01-01,2015,Moderately Concentrated
2015T2,2219.9631977500167,2015-04-01,2015,Moderately Concentrated
2015T3,2467.2679017139308,2015-07-01,2015,Moderately Concentrated
2015T4,2315.3435173459707,2015-10-01,2015,Moderately Concentrated
2016T1,2371.852077990668,2016-01-01,2016,Moderately Concentrated
2016T2,2285.13818515335,2016-04-01,2016,Moderately Concentrated
2016T3,2422.395362356051,2016-07-01,2016,Moderately Concentrated
2016T4,2255.927570407435,2016-10-01,2016,Moderately Concentrated
2017T1,2301.519477310476,2017-01-01,2017,Moderately Concentrated
2017T2,2287.137059420644,2017-04-01,2017,Moderately Concentrated
2017T3,2396.663868205821,2017-07-01,2017,Moderately Concentrated
2017T4,2214.9367249934426,2017-10-01,2017,Moderately Concentrated
2018T1,2283.4117865976127,2018-01-01,2018,Moderately Concentrated
2018T2,2202.8446878083305,2018-04-01,2018,Moderately Concentrated
2018T3,2341.479604588018,2018-07-01,2018,Moderately Concentrated
2018T4,2165.200044271663,2018-10-01,2018,Moderately Concentrated
2019T1,2198.917733504077,2019-01-01,2019,Moderately Concentrated
2019T2,2165.0092098361306,2019-04-01,2019,Moderately Concentrated
2019T3,2273.03140185448,2019-07-01,2019,Moderately Concentrated
2019T4,2086.628145412609,2019-10-01,2019,Moderately Concentrated
2020T1,2149.2348124651253,2020-01-01,2020,Moderately Concentrated
2020T2,2258.0349263050257,2020-04-01,2020,Moderately Concentrated
2020T3,2208.643786589386,2020-07-01,2020,Moderately Concentrated
2020T4,2038.0239758670405,2020-10-01,2020,Moderately Concentrated
2021T1,2122.60708358959,2021-01-01,2021,Moderately Concentrated
2021T2,2014.401251499315,2021-04-01,2021,Moderately Concentrated
2021T3,2172.443080963626,2021-07-01,2021,Moderately Concentrated
2021T4,2027.2886746408824,2021-10-01,2021,Moderately Concentrated
2022T1,2095.54403561655,2022-01-01,2022,Moderately Concentrated
2022T2,2042.0986937824305,2022-04-01,2022,Moderately Concentrated
2022T3,2134.6390002406297,2022-07-01,2022,Moderately Concentrated
2022T4,1956.9015935358411,2022-10-01,2022,Moderately Concentrated
2023T1,2056.772004880078,2023-01-01,2023,Moderately Concentrated
2023T2,1984.671028383759,2023-04-01,2023,Moderately Concentrated
2023T3,2064.5155692197072,2023-07-01,2023,Moderately Concentrated
2023T4,1903.1289321574584,2023-10-01,2023,Moderately Concentrated
2024T1,1952.4361851192937,2024-01-01,2024,Moderately Concentrated
2024T2,2448.4396712838284,2024-04-01,2024,Moderately Concentrated
2024T3,2598.807490182328,2024-07-01,2024,Highly Concentrated
2024T4,2379.084246486952,2024-10-01,2024,Moderately Concentrated
2025T1,2459.7131191926346,2025-01-01,2025,Moderately Concentrated
2025T2,2430.6867500633043,2025-04-01,2025,Moderately Concentrated
2025T3,2540.679156987654,2025-07-01,2025,Highly Concentrated
2025T4,2367.8883636803416,2025-10-01,2025,Moderately Concentrated
